scientific_name,common_name,longitude,latitude,state,water_type,season,sea_surface_temp_C,chlorophyll_mg_m3,depth_m,min_legal_size_cm,juvenile_range_cm,gear_type,zone_label,economic_value_in_INR_per_kg,seasonal_disease,river_name,advisory_text
Tenualosa ilisha,Hilsa,71.7788,15.8058,Kerala,Marine,Winter,25.63,1.39,171.1,15.3,7.7-13.8,Trawl,Green,458.43,,Pamba,Low juvenile presence of Hilsa. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Penaeus monodon,Black Tiger Shrimp,79.6737,16.3363,Odisha,Brackish,Summer,25.33,2.0,123.3,39.2,19.6-35.3,Hook and Line,Green,328.93,,Brahmani,Low juvenile presence of Black Tiger Shrimp. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,75.469,11.2691,Karnataka,Marine,Winter,31.2,2.96,58.8,44.9,22.4-40.4,Trawl,Yellow,493.04,,Kaveri,Moderate juvenile presence of Silver Pomfret in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Sardinella longiceps,Oil Sardine,70.2005,19.5901,Tamil Nadu,Marine,Monsoon,24.97,2.15,178.5,23.9,11.9-21.5,Trawl,Green,212.78,,Kaveri,Low juvenile presence of Oil Sardine. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Lates calcarifer,Asian Seabass,74.3905,20.8903,Tamil Nadu,Brackish,Summer,30.96,1.53,130.5,30.2,15.1-27.2,Trawl,Yellow,116.79,,Vaigai,Moderate juvenile presence of Asian Seabass in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Pampus argenteus,Silver Pomfret,81.9292,21.042,Tamil Nadu,Brackish,Winter,27.72,0.44,132.2,16.2,8.1-14.6,Trawl,Yellow,514.09,,Vaigai,Moderate juvenile presence of Silver Pomfret in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Lates calcarifer,Asian Seabass,76.1444,10.4284,West Bengal,Marine,Monsoon,23.27,0.39,152.6,35.4,17.7-31.9,Purse Seine,Yellow,526.62,,Subarnarekha,Moderate juvenile presence of Asian Seabass in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Tenualosa ilisha,Hilsa,81.6618,20.9148,Kerala,Brackish,Summer,30.1,2.96,163.6,33.8,16.9-30.4,Gillnet,Red,570.89,Tail Rot,Chaliyar,High juvenile dominance of Hilsa observed in Chaliyar. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Tenualosa ilisha,Hilsa,70.6614,21.3112,Kerala,Marine,Summer,29.0,2.79,166.9,30.1,15.1-27.1,Hook and Line,Red,531.36,Tail Rot,Periyar,High juvenile dominance of Hilsa observed in Periyar. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Carangoides malabaricus,Malabar Trevally,96.9451,9.5219,Tamil Nadu,Brackish,Monsoon,28.1,1.85,98.7,19.1,9.6-17.2,Gillnet,Green,386.5,,Palar,Low juvenile presence of Malabar Trevally. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,76.33,17.0512,Andhra Pradesh,Brackish,Winter,28.36,1.32,121.9,17.6,8.8-15.8,Hook and Line,Green,284.82,,Penna,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sardinella longiceps,Oil Sardine,76.461,16.8768,Andhra Pradesh,Marine,Summer,26.14,2.38,44.3,34.3,17.1-30.9,Purse Seine,Green,517.37,,Penna,Low juvenile presence of Oil Sardine. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sepia pharaonis,Pharaoh Cuttlefish,85.3249,15.4906,West Bengal,Brackish,Monsoon,27.52,1.07,161.2,21.1,10.6-19.0,Gillnet,Green,618.09,,Teesta,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Lates calcarifer,Asian Seabass,92.9144,15.2344,Gujarat,Marine,Monsoon,30.04,0.47,173.6,38.6,19.3-34.7,Gillnet,Yellow,174.04,,Narmada,Moderate juvenile presence of Asian Seabass in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Carangoides malabaricus,Malabar Trevally,73.3427,14.2723,Maharashtra,Brackish,Monsoon,23.59,2.59,192.6,21.5,10.8-19.4,Purse Seine,Green,617.48,,Krishna,Low juvenile presence of Malabar Trevally. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,86.1777,17.0412,Kerala,Brackish,Summer,24.83,0.1,129.8,20.2,10.1-18.2,Purse Seine,Yellow,272.5,,Pamba,Moderate juvenile presence of Silver Pomfret in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Carangoides malabaricus,Malabar Trevally,94.0463,10.6047,Kerala,Brackish,Winter,31.99,1.65,153.4,43.9,21.9-39.5,Hook and Line,Yellow,721.86,,Bharathapuzha,Moderate juvenile presence of Malabar Trevally in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Pampus argenteus,Silver Pomfret,92.6149,19.7605,Tamil Nadu,Brackish,Monsoon,27.14,0.18,108.0,19.2,9.6-17.3,Gillnet,Yellow,332.76,,Palar,Moderate juvenile presence of Silver Pomfret in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Sardinella longiceps,Oil Sardine,91.5113,12.2154,Maharashtra,Marine,Summer,25.46,1.18,57.5,32.4,16.2-29.2,Gillnet,Green,225.76,,Godavari,Low juvenile presence of Oil Sardine. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Penaeus monodon,Black Tiger Shrimp,81.3681,17.9675,Maharashtra,Marine,Monsoon,25.7,2.13,116.6,28.3,14.2-25.5,Gillnet,Red,439.39,White Spot Syndrome,Tapi,High juvenile dominance of Black Tiger Shrimp observed in Tapi. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Sardinella longiceps,Oil Sardine,82.9081,14.1149,West Bengal,Marine,Winter,31.7,2.96,60.2,36.7,18.4-33.0,Hook and Line,Red,686.76,Cold Shock Disease,Subarnarekha,High juvenile dominance of Oil Sardine observed in Subarnarekha. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Sepia pharaonis,Pharaoh Cuttlefish,81.2305,13.891,Tamil Nadu,Brackish,Winter,29.84,2.06,181.8,16.1,8.1-14.5,Trawl,Green,295.68,,Kaveri,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Penaeus monodon,Black Tiger Shrimp,84.5529,19.9945,Karnataka,Marine,Summer,23.56,2.18,173.7,28.1,14.1-25.3,Purse Seine,Green,626.54,,Krishna,Low juvenile presence of Black Tiger Shrimp. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Penaeus monodon,Black Tiger Shrimp,80.373,13.4158,Karnataka,Brackish,Winter,22.86,0.97,138.3,31.7,15.8-28.5,Trawl,Green,733.48,,Kaveri,Low juvenile presence of Black Tiger Shrimp. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Scomberomorus guttatus,Seer Fish,72.7017,16.0515,Andhra Pradesh,Marine,Summer,27.78,1.01,65.7,21.0,10.5-18.9,Hook and Line,Green,616.86,,Penna,Low juvenile presence of Seer Fish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Epinephelus malabaricus,Malabar Grouper,91.183,12.2602,Odisha,Marine,Winter,29.99,1.71,177.5,24.2,12.1-21.8,Purse Seine,Green,357.98,,Brahmani,Low juvenile presence of Malabar Grouper. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Lates calcarifer,Asian Seabass,82.204,18.2458,Odisha,Marine,Winter,27.06,0.6,180.5,28.2,14.1-25.4,Trawl,Green,325.92,,Baitarani,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sepia pharaonis,Pharaoh Cuttlefish,68.2993,16.451,West Bengal,Marine,Summer,26.61,0.39,104.2,28.0,14.0-25.2,Gillnet,Yellow,776.3,,Damodar,Moderate juvenile presence of Pharaoh Cuttlefish in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Sardinella longiceps,Oil Sardine,69.2285,13.9679,West Bengal,Brackish,Monsoon,30.78,0.72,87.3,43.0,21.5-38.7,Purse Seine,Yellow,392.11,,Hooghly,Moderate juvenile presence of Oil Sardine in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Scomberomorus guttatus,Seer Fish,85.6666,12.81,Andhra Pradesh,Brackish,Summer,26.77,0.67,50.3,17.0,8.5-15.3,Purse Seine,Green,777.26,,Krishna,Low juvenile presence of Seer Fish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Rastrelliger kanagurta,Indian Mackerel,88.4458,9.6673,Odisha,Brackish,Summer,22.19,2.56,20.0,35.4,17.7-31.9,Purse Seine,Green,198.77,,Baitarani,Low juvenile presence of Indian Mackerel. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Penaeus monodon,Black Tiger Shrimp,82.0283,18.3679,West Bengal,Brackish,Winter,23.29,0.63,142.0,19.3,9.7-17.4,Hook and Line,Green,756.59,,Hooghly,Low juvenile presence of Black Tiger Shrimp. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sardinella longiceps,Oil Sardine,83.2312,10.4667,Odisha,Brackish,Winter,29.45,0.6,106.1,27.8,13.9-25.0,Purse Seine,Red,764.23,Cold Shock Disease,Mahanadi,High juvenile dominance of Oil Sardine observed in Mahanadi. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Lates calcarifer,Asian Seabass,82.2402,17.9158,Odisha,Brackish,Summer,27.15,1.84,120.8,40.6,20.3-36.5,Trawl,Green,633.91,,Baitarani,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Epinephelus malabaricus,Malabar Grouper,69.885,14.0072,Maharashtra,Marine,Monsoon,25.55,0.32,12.9,32.9,16.4-29.6,Purse Seine,Yellow,175.11,,Wardha,Moderate juvenile presence of Malabar Grouper in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Epinephelus malabaricus,Malabar Grouper,74.7807,8.2028,Maharashtra,Marine,Winter,23.98,2.98,36.0,27.0,13.5-24.3,Purse Seine,Green,185.88,,Godavari,Low juvenile presence of Malabar Grouper. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Carangoides malabaricus,Malabar Trevally,89.4019,8.5592,Karnataka,Marine,Summer,25.17,2.32,43.3,22.5,11.2-20.2,Hook and Line,Green,737.65,,Tungabhadra,Low juvenile presence of Malabar Trevally. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sepia pharaonis,Pharaoh Cuttlefish,77.3955,12.6083,Tamil Nadu,Marine,Monsoon,29.07,1.44,72.2,30.2,15.1-27.2,Hook and Line,Green,501.38,,Vaigai,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Scomberomorus guttatus,Seer Fish,85.9871,9.9543,West Bengal,Marine,Winter,26.05,1.81,9.4,20.3,10.2-18.3,Gillnet,Green,433.36,,Hooghly,Low juvenile presence of Seer Fish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Epinephelus malabaricus,Malabar Grouper,88.4449,14.968,Odisha,Marine,Monsoon,27.67,0.31,194.6,18.8,9.4-16.9,Purse Seine,Yellow,180.44,,Baitarani,Moderate juvenile presence of Malabar Grouper in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Sepia pharaonis,Pharaoh Cuttlefish,90.9075,14.8621,Maharashtra,Marine,Monsoon,22.88,2.2,180.7,39.9,19.9-35.9,Trawl,Green,300.22,,Tapi,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sepia pharaonis,Pharaoh Cuttlefish,79.863,10.6837,Andhra Pradesh,Marine,Monsoon,25.16,1.09,64.9,33.4,16.7-30.1,Purse Seine,Green,630.36,,Krishna,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Penaeus monodon,Black Tiger Shrimp,74.614,9.6921,Kerala,Marine,Winter,29.09,0.59,125.1,30.2,15.1-27.2,Purse Seine,Green,658.48,,Bharathapuzha,Low juvenile presence of Black Tiger Shrimp. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,87.4108,15.2136,Kerala,Marine,Summer,29.56,1.85,183.5,38.6,19.3-34.7,Purse Seine,Green,523.79,,Bharathapuzha,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Penaeus monodon,Black Tiger Shrimp,72.2637,12.5969,Maharashtra,Marine,Monsoon,26.61,1.14,35.6,31.2,15.6-28.1,Gillnet,Red,778.21,White Spot Syndrome,Wardha,High juvenile dominance of Black Tiger Shrimp observed in Wardha. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Carangoides malabaricus,Malabar Trevally,81.0804,17.0911,Gujarat,Brackish,Summer,24.48,0.72,126.2,27.2,13.6-24.5,Trawl,Green,737.14,,Narmada,Low juvenile presence of Malabar Trevally. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Penaeus monodon,Black Tiger Shrimp,77.0111,20.9343,Karnataka,Marine,Monsoon,22.63,2.94,108.1,43.5,21.8-39.1,Gillnet,Red,566.99,White Spot Syndrome,Tungabhadra,High juvenile dominance of Black Tiger Shrimp observed in Tungabhadra. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Tenualosa ilisha,Hilsa,84.8891,15.3266,Gujarat,Marine,Summer,24.81,0.21,170.2,32.3,16.1-29.1,Hook and Line,Red,191.04,Tail Rot,Narmada,High juvenile dominance of Hilsa observed in Narmada. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Rastrelliger kanagurta,Indian Mackerel,87.3775,10.0887,Karnataka,Marine,Monsoon,28.22,2.48,145.1,33.4,16.7-30.1,Gillnet,Red,393.67,Gill Rot,Kaveri,High juvenile dominance of Indian Mackerel observed in Kaveri. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Rastrelliger kanagurta,Indian Mackerel,87.984,8.225,Maharashtra,Marine,Monsoon,27.31,2.16,64.8,22.7,11.3-20.4,Gillnet,Red,241.79,Gill Rot,Tapi,High juvenile dominance of Indian Mackerel observed in Tapi. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Penaeus monodon,Black Tiger Shrimp,68.5361,14.2729,Karnataka,Marine,Winter,27.29,2.36,134.2,44.6,22.3-40.1,Purse Seine,Green,351.36,,Tungabhadra,Low juvenile presence of Black Tiger Shrimp. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,91.2409,11.8612,Odisha,Brackish,Monsoon,27.86,1.16,51.4,29.8,14.9-26.8,Trawl,Green,273.96,,Brahmani,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Epinephelus malabaricus,Malabar Grouper,92.5737,8.0754,Kerala,Brackish,Winter,31.85,0.24,98.3,25.0,12.5-22.5,Gillnet,Yellow,121.78,,Pamba,Moderate juvenile presence of Malabar Grouper in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Pampus argenteus,Silver Pomfret,96.7866,13.1734,Andhra Pradesh,Brackish,Monsoon,30.05,1.14,13.2,19.3,9.7-17.4,Purse Seine,Yellow,512.59,,Penna,Moderate juvenile presence of Silver Pomfret in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Scomberomorus guttatus,Seer Fish,80.164,15.6193,Gujarat,Brackish,Summer,27.74,1.82,198.1,36.3,18.1-32.7,Trawl,Green,447.26,,Tapi,Low juvenile presence of Seer Fish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Carangoides malabaricus,Malabar Trevally,70.2123,16.8747,Kerala,Marine,Winter,29.46,1.0,15.3,35.1,17.6-31.6,Trawl,Green,514.88,,Bharathapuzha,Low juvenile presence of Malabar Trevally. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Rastrelliger kanagurta,Indian Mackerel,87.6266,12.6504,Odisha,Marine,Summer,28.83,1.61,11.9,41.0,20.5-36.9,Trawl,Green,542.57,,Brahmani,Low juvenile presence of Indian Mackerel. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,82.2537,13.8523,Maharashtra,Marine,Winter,31.89,1.34,56.9,15.1,7.5-13.6,Purse Seine,Yellow,756.24,,Godavari,Moderate juvenile presence of Silver Pomfret in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Penaeus monodon,Black Tiger Shrimp,86.0722,20.6082,Karnataka,Marine,Winter,25.99,1.72,145.2,16.6,8.3-14.9,Gillnet,Green,554.49,,Krishna,Low juvenile presence of Black Tiger Shrimp. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Epinephelus malabaricus,Malabar Grouper,93.6639,8.4197,Odisha,Brackish,Summer,25.43,1.64,174.8,38.8,19.4-34.9,Hook and Line,Green,241.43,,Brahmani,Low juvenile presence of Malabar Grouper. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sepia pharaonis,Pharaoh Cuttlefish,87.4126,14.1881,Andhra Pradesh,Marine,Summer,27.17,1.04,60.2,45.0,22.5-40.5,Hook and Line,Green,670.81,,Krishna,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sardinella longiceps,Oil Sardine,80.2494,15.0223,Maharashtra,Marine,Monsoon,30.33,1.13,72.9,19.7,9.8-17.7,Gillnet,Yellow,391.75,,Krishna,Moderate juvenile presence of Oil Sardine in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Carangoides malabaricus,Malabar Trevally,76.6999,17.9411,Karnataka,Marine,Monsoon,22.45,2.6,156.8,31.7,15.8-28.5,Trawl,Green,563.96,,Kaveri,Low juvenile presence of Malabar Trevally. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Carangoides malabaricus,Malabar Trevally,70.7127,12.111,Karnataka,Brackish,Winter,30.6,0.55,199.6,38.8,19.4-34.9,Gillnet,Yellow,288.26,,Tungabhadra,Moderate juvenile presence of Malabar Trevally in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Sardinella longiceps,Oil Sardine,70.7561,16.4354,Andhra Pradesh,Brackish,Winter,31.28,1.8,176.2,38.4,19.2-34.6,Purse Seine,Red,318.54,Cold Shock Disease,Godavari,High juvenile dominance of Oil Sardine observed in Godavari. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Scomberomorus guttatus,Seer Fish,84.9207,9.3881,Kerala,Marine,Winter,27.02,1.89,135.1,41.0,20.5-36.9,Hook and Line,Green,328.66,,Periyar,Low juvenile presence of Seer Fish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Tenualosa ilisha,Hilsa,76.4438,9.7718,Maharashtra,Marine,Winter,23.32,0.58,8.6,42.1,21.1-37.9,Purse Seine,Green,408.75,,Krishna,Low juvenile presence of Hilsa. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sepia pharaonis,Pharaoh Cuttlefish,94.9831,19.4422,Karnataka,Marine,Summer,23.71,1.21,176.2,44.5,22.2-40.1,Hook and Line,Green,118.8,,Tungabhadra,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Epinephelus malabaricus,Malabar Grouper,75.2582,14.855,Tamil Nadu,Brackish,Winter,30.23,2.73,135.8,22.6,11.3-20.3,Purse Seine,Yellow,750.21,,Vaigai,Moderate juvenile presence of Malabar Grouper in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Pampus argenteus,Silver Pomfret,89.6618,11.092,Tamil Nadu,Brackish,Monsoon,27.62,2.54,184.2,34.0,17.0-30.6,Hook and Line,Green,734.57,,Palar,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Tenualosa ilisha,Hilsa,76.4076,9.264,Odisha,Brackish,Winter,27.15,0.68,6.4,15.6,7.8-14.0,Trawl,Green,631.7,,Baitarani,Low juvenile presence of Hilsa. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Penaeus monodon,Black Tiger Shrimp,78.8228,15.8848,Karnataka,Marine,Summer,26.85,1.79,100.4,27.6,13.8-24.8,Trawl,Green,674.0,,Krishna,Low juvenile presence of Black Tiger Shrimp. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,86.4994,21.0454,Kerala,Marine,Winter,30.71,2.39,148.0,19.4,9.7-17.5,Trawl,Yellow,458.74,,Bharathapuzha,Moderate juvenile presence of Silver Pomfret in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Epinephelus malabaricus,Malabar Grouper,74.7595,9.7233,Maharashtra,Marine,Monsoon,28.99,0.85,20.6,19.1,9.6-17.2,Purse Seine,Green,120.69,,Wardha,Low juvenile presence of Malabar Grouper. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Epinephelus malabaricus,Malabar Grouper,71.5586,20.0636,Kerala,Brackish,Monsoon,22.21,2.12,147.8,36.7,18.4-33.0,Gillnet,Green,339.62,,Bharathapuzha,Low juvenile presence of Malabar Grouper. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Lates calcarifer,Asian Seabass,91.8755,10.2758,Andhra Pradesh,Brackish,Monsoon,22.52,2.49,85.6,20.8,10.4-18.7,Purse Seine,Green,568.37,,Krishna,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Scomberomorus guttatus,Seer Fish,91.8137,14.0542,Odisha,Marine,Monsoon,30.1,1.05,80.9,30.7,15.3-27.6,Purse Seine,Yellow,309.8,,Mahanadi,Moderate juvenile presence of Seer Fish in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Scomberomorus guttatus,Seer Fish,90.6293,17.5183,Kerala,Marine,Winter,26.49,2.65,123.5,18.2,9.1-16.4,Hook and Line,Green,289.64,,Pamba,Low juvenile presence of Seer Fish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Epinephelus malabaricus,Malabar Grouper,69.4456,14.6475,Odisha,Brackish,Winter,29.24,2.63,13.1,21.5,10.8-19.4,Gillnet,Green,201.45,,Mahanadi,Low juvenile presence of Malabar Grouper. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Scomberomorus guttatus,Seer Fish,81.3624,10.3015,West Bengal,Brackish,Monsoon,22.82,0.66,20.9,35.2,17.6-31.7,Gillnet,Green,556.43,,Teesta,Low juvenile presence of Seer Fish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Lates calcarifer,Asian Seabass,96.5357,11.6236,Tamil Nadu,Marine,Summer,26.42,2.15,132.1,18.0,9.0-16.2,Hook and Line,Green,695.67,,Palar,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Penaeus monodon,Black Tiger Shrimp,96.9918,21.727,Kerala,Marine,Winter,30.87,2.23,68.1,33.9,16.9-30.5,Trawl,Yellow,505.69,,Pamba,Moderate juvenile presence of Black Tiger Shrimp in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Scomberomorus guttatus,Seer Fish,79.1258,13.8941,Odisha,Brackish,Monsoon,29.71,0.88,95.8,43.4,21.7-39.1,Purse Seine,Green,704.32,,Mahanadi,Low juvenile presence of Seer Fish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
